Code,Relative value,pc/tc splits,schedule
85520,24.64,0/100,medical
85525,24.64,0/100,medical
85530,24.64,0/100,medical
85536,10.47,0/100,medical
85540,15.40,0/100,medical
85547,14.17,0/100,medical
85549,31.42,0/100,medical
85555,15.40,0/100,medical
85557,30.81,0/100,medical
85576,30.81,20/80,medical
85597,21.56,0/100,medical
85598,25.88,0/100,medical
85610,8.63,0/100,medical
85611,9.24,0/100,medical
85612,17.25,0/100,medical
85613,20.33,0/100,medical
85635,12.32,0/100,medical
85651,7.70,0/100,medical
85652,7.70,0/100,medical
85660,8.63,0/100,medical
85670,11.71,0/100,medical
85675,12.94,0/100,medical
85705,23.41,0/100,medical
85730,10.47,0/100,medical
85732,12.32,0/100,medical
85810,14.17,0/100,medical
85999,BR,,medical
86000,14.17,0/100,medical
86001,6.78,0/100,medical
86003,6.78,0/100,medical
86005,30.81,0/100,medical
86008,20.04,0/100,medical
86021,36.97,0/100,medical
86022,56.07,0/100,medical
86023,30.81,0/100,medical
86038,21.56,0/100,medical
86039,21.56,0/100,medical
86060,14.79,0/100,medical
86063,11.09,0/100,medical
86077,38.81,,medical
86078,44.98,,medical
86079,27.72,,medical
86140,11.71,0/100,medical
86141,14.79,0/100,medical
86146,43.13,0/100,medical
86147,43.13,0/100,medical
86148,21.07,0/100,medical
86152,272.46,0/100,medical
86153,BR,,medical
86155,16.63,0/100,medical
86156,11.09,0/100,medical
86157,14.17,0/100,medical
86160,27.11,0/100,medical
86161,27.11,0/100,medical
86162,38.20,0/100,medical
86171,17.87,0/100,medical
86200,24.64,0/100,medical
86215,24.03,0/100,medical
86225,26.49,0/100,medical
86226,26.49,0/100,medical
86235,23.41,0/100,medical
86255,21.56,0/100,medical
86256,26.49,0/100,medical
86277,21.56,0/100,medical
86280,17.87,0/100,medical
86294,32.04,0/100,medical
86300,32.04,0/100,medical
86301,32.04,0/100,medical
86304,32.04,0/100,medical
86305,27.36,0/100,medical
86308,10.47,0/100,medical
86309,13.55,0/100,medical
86310,15.40,0/100,medical
86316,32.04,0/100,medical
86317,14.79,0/100,medical
86318,14.79,0/100,medical
86320,38.81,20/80,medical
86325,40.05,20/80,medical
86327,30.81,20/80,medical
86329,29.57,0/100,medical
86331,27.72,0/100,medical
86332,35.12,0/100,medical
86334,33.27,20/80,medical
86335,33.27,20/80,medical
86336,30.81,0/100,medical
86337,38.81,0/100,medical
86340,27.11,0/100,medical
86341,21.56,0/100,medical
86343,26.49,0/100,medical
86344,15.40,0/100,medical
86352,177.71,0/100,medical
86353,86.25,0/100,medical
86355,40.05,0/100,medical
86356,30.81,0/100,medical
86357,40.05,0/100,medical
86359,40.66,0/100,medical
86360,61.61,0/100,medical
86361,51.14,0/100,medical
86367,40.05,0/100,medical
86376,25.88,0/100,medical
86382,28.34,0/100,medical
86384,21.56,0/100,medical
86386,20.76,0/100,medical
86403,9.86,0/100,medical
86406,11.40,0/100,medical
86430,11.71,0/100,medical
86431,13.55,0/100,medical
86480,20.33,0/100,medical
86481,20.33,0/100,medical
86485,9.24,0/100,medical
86486,6.16,0/100,medical
86490,8.63,0/100,medical
86510,9.24,0/100,medical
86580,8.01,0/100,medical
86590,11.09,0/100,medical
86592,8.01,0/100,medical
86593,8.63,0/100,medical
86602,24.64,0/100,medical
86603,24.64,0/100,medical
86606,27.11,0/100,medical
86609,33.89,0/100,medical
86611,27.72,0/100,medical
86612,27.11,0/100,medical
86615,30.81,0/100,medical
86617,32.65,0/100,medical
86618,30.81,0/100,medical
86619,24.64,0/100,medical
86622,18.48,0/100,medical
86625,30.81,0/100,medical
86628,29.57,0/100,medical
86631,21.56,0/100,medical
86632,24.03,0/100,medical
86635,29.57,0/100,medical
86638,24.64,0/100,medical
86641,18.48,0/100,medical
86644,28.34,0/100,medical
86645,31.42,0/100,medical
86648,27.11,0/100,medical
86651,24.64,0/100,medical
86652,24.64,0/100,medical
86653,24.64,0/100,medical
86654,24.64,0/100,medical
86658,24.64,0/100,medical
86663,29.57,0/100,medical
86664,29.57,0/100,medical
86665,32.04,0/100,medical
86666,27.72,0/100,medical
86668,18.48,0/100,medical
86671,33.89,0/100,medical
86674,24.64,0/100,medical
86677,33.27,0/100,medical
86682,33.89,0/100,medical
86684,30.81,0/100,medical
86687,24.64,0/100,medical
86688,23.41,0/100,medical
86689,32.65,0/100,medical
86692,30.81,0/100,medical
86694,27.11,0/100,medical
86695,27.11,0/100,medical
86696,27.11,0/100,medical
86698,24.64,0/100,medical
86701,20.95,0/100,medical
86702,30.81,0/100,medical
86703,20.95,0/100,medical
86704,21.56,0/100,medical
86705,23.41,0/100,medical
86706,19.10,0/100,medical
86707,20.95,0/100,medical
86708,22.80,0/100,medical
86709,21.56,0/100,medical
86710,20.33,0/100,medical
86711,15.84,0/100,medical
86713,29.57,0/100,medical
86717,24.64,0/100,medical
86720,24.64,0/100,medical
86723,24.64,0/100,medical
86727,24.64,0/100,medical
86732,24.64,0/100,medical
86735,24.64,0/100,medical
86738,24.64,0/100,medical
86741,24.64,0/100,medical
86744,24.64,0/100,medical
86747,30.81,0/100,medical
86750,24.64,0/100,medical
86753,33.89,0/100,medical
86756,24.64,0/100,medical
86757,24.64,0/100,medical
86759,24.64,0/100,medical
86762,14.17,0/100,medical
86765,30.81,0/100,medical
86768,24.64,0/100,medical
86771,24.64,0/100,medical
86774,30.81,0/100,medical
86777,23.41,0/100,medical
86778,28.96,0/100,medical
