code,relative value,pc/tc split,schedule
21933,4.97,,medical
21935,8.69,,medical
21936,9.63,,medical
22010,5.59,,medical
22015,5.49,,medical
22100,5.24,,medical
22101,5.24,,medical
22102,6.84,,medical
22103,1.38,,medical
22110,6.14,,medical
22112,6.14,,medical
22114,6.14,,medical
22116,1.84,,medical
22206,26.39,,medical
22207,25.56,,medical
22208,7.66,,medical
22210,18.10,,medical
22212,17.59,,medical
22214,17.89,,medical
22216,5.36,,medical
22220,19.12,,medical
22222,18.61,,medical
22224,18.92,,medical
22226,5.67,,medical
22310,2.37,,medical
22315,4.64,,medical
22318,22.51,,medical
22319,26.44,,medical
22325,15.81,,medical
22326,17.42,,medical
22327,15.81,,medical
22328,3.69,,medical
22505,0.00,,medical
22510,13.46,,medical
22511,12.94,,medical
22512,4.45,,medical
22513,3.52,,medical
22514,3.31,,medical
22515,1.55,,medical
22526,10.87,,medical
22527,8.80,,medical
22532,19.36,,medical
22533,18.11,,medical
22534,9.01,,medical
22548,19.76,,medical
22551,18.42,,medical
22552,5.28,,medical
22554,19.76,,medical
22556,20.75,,medical
22558,15.81,,medical
22585,3.88,,medical
22586,21.32,,medical
22590,18.28,,medical
22595,18.28,,medical
22600,16.08,,medical
22610,15.81,,medical
22612,15.81,,medical
22614,3.87,,medical
22630,18.92,,medical
22632,5.67,,medical
22633,19.80,,medical
22634,5.34,,medical
22800,19.51,,medical
22802,21.16,,medical
22804,25.41,,medical
22808,16.97,,medical
22810,20.45,,medical
22812,23.72,,medical
22818,35.02,,medical
22819,44.34,,medical
22830,16.36,,medical
22840,9.57,,medical
22841,2.98,,medical
22842,11.76,,medical
22843,12.93,,medical
22844,14.22,,medical
22845,12.27,,medical
22846,13.50,,medical
22847,14.83,,medical
22848,5.29,,medical
22849,9.71,,medical
22850,6.65,,medical
22852,7.67,,medical
22853,2.67,,medical
22854,3.45,,medical
22855,12.78,,medical
22856,19.15,,medical
22857,19.35,,medical
22858,5.47,,medical
22859,3.45,,medical
22861,23.60,,medical
22862,23.60,,medical
22864,21.94,,medical
22865,22.98,,medical
22867,9.88,,medical
22868,2.52,,medical
22869,5.61,,medical
22870,1.45,,medical
22899,BR,,medical
22900,5.14,,medical
22901,3.31,,medical
22902,2.07,,medical
22903,2.17,,medical
22904,5.28,,medical
22905,6.83,,medical
22999,BR,,medical
23000,3.11,,medical
23020,7.21,,medical
23030,3.23,,medical
23031,0.99,,medical
23035,4.45,,medical
23040,7.29,,medical
23044,4.32,,medical
23065,0.71,,medical
23066,3.23,,medical
23071,1.86,,medical
23073,4.81,,medical
23075,1.98,,medical
23076,3.45,,medical
23077,21.98,,medical
23078,9.11,,medical
23100,7.21,,medical
23101,3.26,,medical
23105,9.88,,medical
23106,3.95,,medical
23107,9.88,,medical
23120,6.47,,medical
23125,9.88,,medical
23130,6.47,,medical
23140,3.95,,medical
23145,5.93,,medical
23146,4.64,,medical
23150,8.63,,medical
23155,10.79,,medical
23156,8.63,,medical
23170,5.18,,medical
23172,6.47,,medical
23174,8.60,,medical
23180,6.47,,medical
23182,7.77,,medical
23184,3.45,,medical
23190,7.77,,medical
23195,6.47,,medical
23200,8.63,,medical
23210,10.79,,medical
23220,12.94,,medical
23330,3.95,,medical
23333,4.90,,medical
23334,11.35,,medical
23335,13.51,,medical
23350,0.52,,medical
23395,13.34,,medical
23397,14.33,,medical
23400,14.33,,medical
23405,5.24,,medical
23406,7.90,,medical
23410,9.19,,medical
23412,10.37,,medical
23415,3.95,,medical
23420,11.86,,medical
23430,7.90,,medical
23440,7.90,,medical
23450,10.87,,medical
23455,12.35,,medical
23460,13.34,,medical
23462,11.86,,medical
23465,11.36,,medical
23466,12.48,,medical
23470,12.84,,medical
23472,19.76,,medical
23473,17.15,,medical
23474,18.52,,medical
23480,6.62,,medical
23485,7.90,,medical
23490,6.14,,medical
23491,7.67,,medical
23500,1.29,,medical
23505,1.94,,medical
23515,7.77,,medical
23520,1.78,,medical
23525,1.78,,medical
23530,6.62,,medical
23532,7.21,,medical
23540,0.59,,medical
23545,2.15,,medical
23550,7.90,,medical
23552,8.60,,medical
23570,1.88,,medical
23575,2.59,,medical
23585,7.90,,medical
23600,2.81,,medical
23605,4.32,,medical
23615,11.66,,medical
23616,12.27,,medical
23620,1.29,,medical
23625,1.94,,medical
23630,5.93,,medical
23650,0.99,,medical
23655,3.23,,medical
23660,10.79,,medical
23665,1.98,,medical
23670,9.49,,medical
23675,2.67,,medical
23680,12.51,,medical
23700,3.23,,medical
23800,12.84,,medical
23802,14.33,,medical
23900,19.76,,medical
23920,14.33,,medical
23921,2.67,,medical
23929,BR,,medical
23930,4.74,,medical
23931,3.06,,medical
23935,7.77,,medical
24000,6.62,,medical
24006,5.62,,medical
24065,0.61,,medical
24066,3.45,,medical
24071,3.31,,medical
24073,4.66,,medical
24075,1.81,,medical
24076,3.31,,medical
24077,10.23,,medical
24079,8.69,,medical
24100,5.93,,medical
24101,6.72,,medical
24102,9.19,,medical
24105,2.87,,medical
24110,6.22,,medical
24115,8.20,,medical
24116,6.92,,medical
24120,5.24,,medical
24125,6.62,,medical
24126,5.93,,medical
24130,6.47,,medical
24134,8.60,,medical
24136,6.14,,medical
24138,6.14,,medical
24140,7.90,,medical
24145,6.47,,medical
24147,3.95,,medical
24149,7.87,,medical
24150,15.81,,medical
24152,8.50,,medical
24155,9.88,,medical
24160,3.95,,medical
24164,2.67,,medical
24200,0.30,,medical
24201,1.19,,medical
24220,0.30,,medical
24300,3.75,,medical
24301,7.21,,medical
24305,6.47,,medical
24310,5.18,,medical
24320,7.77,,medical
24330,7.90,,medical
24331,10.37,,medical
24332,4.45,,medical
24340,7.33,,medical
24341,6.96,,medical
24342,10.79,,medical
24343,7.04,,medical
24344,8.44,,medical
24345,7.04,,medical
24346,8.44,,medical
24357,3.83,,medical
24358,4.35,,medical
24359,5.18,,medical
24360,10.28,,medical
24361,10.28,,medical
24362,10.28,,medical
24363,13.24,,medical
24365,6.47,,medical
