code,relative value,pc/tc split,schedule
93562.0,23.50,40/60,medical
93563.0,6.76,,medical
93564.0,6.76,,medical
93565.0,5.24,,medical
93566.0,20.63,,medical
93567.0,16.91,,medical
93568.0,18.60,,medical
93571.0,32.81,35/65,medical
93572.0,20.12,47/53,medical
93580.0,489.04,,medical
93581.0,489.04,,medical
93582.0,138.56,,medical
93583.0,154.66,,medical
93590.0,222.37,,medical
93591.0,184.65,,medical
93592.0,81.23,,medical
93600.0,63.58,55/45,medical
93602.0,36.19,55/45,medical
93603.0,41.09,55/45,medical
93609.0,142.89,55/45,medical
93610.0,45.66,55/45,medical
93612.0,53.60,55/45,medical
93613.0,145.09,72/28,medical
93615.0,5.92,55/45,medical
93616.0,26.21,55/45,medical
93618.0,152.19,55/45,medical
93619.0,247.90,55/45,medical
93620.0,315.88,55/45,medical
93621.0,89.83,55/45,medical
93622.0,89.83,55/45,medical
93623.0,81.51,55/45,medical
93624.0,199.03,55/45,medical
93631.0,152.45,55/45,medical
93640.0,167.92,55/45,medical
93641.0,207.15,55/45,medical
93642.0,249.59,55/45,medical
93644.0,39.74,73/27,medical
93650.0,389.78,55/45,medical
93653.0,174.13,,medical
93654.0,233.25,,medical
93655.0,88.75,,medical
93656.0,233.89,,medical
93657.0,88.68,,medical
93660.0,50.73,60/40,medical
93662.0,172.48,55/45,medical
93668.0,19.02,0/100,medical
93701.0,10.99,28/72,medical
93702.0,23.94,,medical
93724.0,106.87,60/40,medical
93740.0,16.91,75/25,medical
93745.0,BR,65/35,medical
93750.0,12.68,,medical
93770.0,2.54,90/10,medical
93784.0,41.43,40/60,medical
93786.0,6.17,0/100,medical
93788.0,18.60,0/100,medical
93790.0,18.09,,medical
93792.0,10.47,,medical
93793.0,2.33,,medical
93797.0,6.76,,medical
93798.0,8.62,,medical
93799.0,BR,,medical
93880.0,41.43,40/60,medical
93882.0,29.76,40/60,medical
93886.0,45.83,40/60,medical
93888.0,27.39,40/60,medical
93890.0,49.72,25/75,medical
93892.0,52.76,25/75,medical
93893.0,49.38,25/75,medical
93895.0,BR,,medical
93922.0,26.21,40/60,medical
93923.0,30.44,40/60,medical
93924.0,28.75,40/60,medical
93925.0,39.06,40/60,medical
93926.0,23.34,40/60,medical
93930.0,38.39,40/60,medical
93931.0,19.95,40/60,medical
93970.0,37.54,40/60,medical
93971.0,23.34,40/60,medical
93975.0,33.31,40/60,medical
93976.0,21.48,40/60,medical
93978.0,35.51,40/60,medical
93979.0,21.31,40/60,medical
93980.0,31.79,40/60,medical
93981.0,20.97,40/60,medical
93990.0,19.45,40/60,medical
93998.0,0.00,,medical
94002.0,24.18,,medical
94003.0,17.42,,medical
94004.0,12.68,,medical
94005.0,22.32,,medical
94010.0,8.54,40/60,medical
94011.0,23.67,,medical
94012.0,38.89,,medical
94013.0,8.46,,medical
94014.0,11.84,40/60,medical
94015.0,5.92,0/100,medical
94016.0,7.44,,medical
94060.0,13.11,40/60,medical
94070.0,27.06,40/60,medical
94150.0,2.79,40/60,medical
94200.0,6.59,20/80,medical
94250.0,2.54,20/80,medical
94375.0,10.15,20/80,medical
94400.0,20.29,20/80,medical
94450.0,16.23,20/80,medical
94452.0,20.46,30/70,medical
94453.0,29.25,30/70,medical
94610.0,17.59,,medical
94617.0,18.47,35/65,medical
94618.0,32.38,20/80,medical
94621.0,38.05,20/80,medical
94640.0,3.55,,medical
94642.0,15.81,,medical
94644.0,9.30,,medical
94645.0,3.55,,medical
94660.0,19.45,,medical
94662.0,12.68,,medical
94664.0,4.23,,medical
94667.0,5.07,,medical
94668.0,4.06,,medical
94669.0,6.36,,medical
94680.0,13.53,40/60,medical
94681.0,25.37,40/60,medical
94690.0,5.07,40/60,medical
94726.0,11.23,23/77,medical
94727.0,8.81,29/71,medical
94728.0,8.81,29/71,medical
94729.0,11.16,15/85,medical
94750.0,15.56,40/60,medical
94760.0,3.55,0/100,medical
94761.0,5.92,0/100,medical
94762.0,7.44,0/100,medical
94770.0,10.15,40/60,medical
94772.0,BR,40/60,medical
94774.0,BR,,medical
94775.0,BR,,medical
94776.0,BR,,medical
94777.0,BR,,medical
94780.0,10.59,,medical
94781.0,4.12,,medical
94799.0,BR,,medical
95004.0,0.42,,medical
95012.0,3.21,,medical
95017.0,0.64,,medical
95018.0,1.18,,medical
95024.0,0.72,,medical
95027.0,0.72,,medical
95028.0,1.23,,medical
95044.0,1.65,,medical
95052.0,2.20,,medical
95056.0,0.59,,medical
95060.0,2.54,,medical
95065.0,2.11,,medical
95070.0,16.91,,medical
95071.0,16.91,,medical
95076.0,23.19,,medical
95079.0,16.28,,medical
95115.0,1.35,,medical
95117.0,2.03,,medical
95120.0,1.86,,medical
95125.0,2.28,,medical
95130.0,3.21,,medical
95131.0,4.06,,medical
95132.0,4.90,,medical
95133.0,5.92,,medical
95134.0,7.10,,medical
95144.0,4.90,,medical
95145.0,3.72,,medical
95146.0,4.57,,medical
95147.0,5.41,,medical
